id,type,text1,text2,text3,notes
missp_broadswordmkii,SHIP,"An upgrade to the ubiquitous Broadsword, the Broadsword Mk2 further upgrades the crafts arsenal with a series of Swarmer SRMs for interception and anti-armor duty. While still likely to falter in dealing with capital sized threats, the upgrades prove sufficient for dealing with heavier fighters and frigates, while still making for an excellent bomber escort.",,,
missp_colossus_heg,SHIP,"This ship is on the Hegemony auxiliary list and as such its systems have been upgraded to military standard and a rigorous schedule of servicing enforced with the expectation that it can be pressed into military service during emergencies.

The Colossus is a sturdy and venerable hull well-suited to conditions in the post-Collapse Sector, albeit possessing primitive accommodations and limited defensive armament.",,,
missp_condor_heg,SHIP,"This ship is on the Hegemony auxiliary list and as such its systems have been upgraded to military standard and a rigorous schedule of servicing enforced with the expectation that it can be pressed into military service during emergencies.

The Condor-class sees heavy service in the Sector as this carrier-converted freighter is, for many independent polities, the easiest way to procure fighter capability for their organization. Even with limited flight deck space, the Condor gets the job done, relying on its tough armor, excellent bulkhead strength, and a respectable (for a light carrier) weapons package.

This light carrier design is derived from Tarsus-class freighters modified by desperate scavengers and pirates. The conversion process was once an involved and complex affair requiring space dock facilities, but nowadays any hull-capable forge that will accept a stock Tarsus spec will, with the addition of a custom modchip, get you something just as good.

Some in the Sector argue that even the Domain, with all their technological know-how, relied on similar conversions to make more efficient use of a merchant fleet during times of escalated hostilities on the voluminous galactic frontier. Others point out that it is unclear how ubiquitous this approach was - there could have been fleets of Condors roaming Domain space, but there is scarce hard evidence one way or the other. Such data was all lost in the Collapse.",,,
missp_mudskipper_heg,SHIP,"This ship is on the Hegemony auxiliary list and as such its systems have been upgraded to military standard and a rigorous schedule of servicing enforced with the expectation that it can be pressed into military service during emergencies.

Most commonly used as interplanetary ferry, the Mudskipper is indeed interstellar-capable. The ship has no built-in shield generator so must rely on its durable - for a civilian craft - armour to protect passengers and cargo. There is little hope for the Mudskipper in combat, but it is generally equipped with a rear-facing turret to foil attacks by the ever-popular Salamander missile.

The HGA-220 was first produced as the """"Pegasus""""-class but was soon anointed with the altogether more humble name """"Mudskipper"""". This tough little ship has been a mainstay in backwater civilian transport for centuries, and although not pretty, the rugged construction simplifies maintenance and generous bay doors allow for great versatility. To this point, the Mudskipper's image in the public mind was cemented by a somewhat unlikely holovid sequence featuring a Mudskipper transporting a herd of bovids to a picturesque arid-terraform.",,,
missp_mule_heg,SHIP,"This ship is on the Hegemony Auxiliary List and as such has been overhauled to comply with the Hegemony Auxiliary Requirements through a rigorous schedule of servicing and modifications, which has led to the already tough armor of the ship being reinforced further and its subsystems getting a substantial upgrade, however it's missile hardpoints were sacrificed to free up space for these upgrades.

The Mule-class is a tough nut to crack, which makes its designation as a combat freighter apt. Pirates will often bypass even a lone Mule and go off in search of easier prey.

Often its captains casually ferry cargo to and fro between the star systems of the Sector alone and comfortable in the knowledge that they could afford the best protection a freighter captain can hope to get, short of an escort, of course.",,,
missp_nagato,SHIP,"The near mythical Nagato super-dreadnought, a project conceived in the same era of the Deployment of the Domain's Exploratum Drones, was designed to be a naval anchor for military operations in a sector, and to be a mobile HQ for domain operations in foreign space.

The ships absolutely staggering armament, material and crew requirements made this ship not only expensive, but unfeasible leading into the implementation of lower-level AI subroutines in ship systems (courtesy of heavy Tri-Tachyon lobbying and investment), the Nagato still stands as a relic of the forgotten glory days of the Domain, and should one be resoureful, or just downright crazy enough to get one of these on their hands, they could very well decide the fate of the sector with its bristling armament, near-impenetrable armor plating, its surprisingly numerous fighter bays, and staggering mobility for a ship of its size.",,,
missp_nail,SHIP,"The most desperate option of fighter duty, the Nail is for all intents and purposes a stripped down Talon. With its Swarmer Missiles stripped, most targetting systems downgraded or straight up removed, the Nail is now not much more than a vulcan with an engine and a pilot thats out of his luck. The benefit of having such a minimalistic fighter is the addition of 2 extra fighters in a wing.",,,
missp_nebulamkii,SHIP,"This once harmless civilian transport has been converted into a makeshift pirate command centre, stripping basically all the passenger cabins for fleet Command and Control systems likely salvaged off a derelict Legion. As a result, this ship is rather effective to the surprise of many privateers, as its built-in Nav Relay and ECM systems lifts the burden off the shoulder of EWAR duty from less-dedicated combat ships. The ship also sports a decent armament upgrade as well, alongside a hastily-installed nanoforge for access to a fighter escort.

The voluminous but ungainly hull of the Huan-Gogel 430 """"Nebula"""" does little to enhance the romance of interstellar travel but it does ensure a respectable passenger and cargo capacity for a ship of its class. Indeed, the Nebula has slowly come to dominate mid-tier passenger service since the muted reception of its first line of production.

The Nebula is equipped with a forward-facing shield to enhance the safety of passengers and extend the hull plating's maintenance schedule. And the Sector being what it is, several ballistic turrets and anti-missile all-band flare launchers have been mounted at fortuitous locations to assure paying passengers that their well-being is a top priority of the operator.",,,
missp_starlinermkii,SHIP,"A once prestigious cruise liner, the Starliner MkII is a rather effective pirate conversion that turns the ship into a lethal instrument in pirate raids. Equipped with crude communications equipment, Electronic Warfare systems, and fleet coordination subsystems, as well as a rather hefty upgrade to the base starliners weapon package, and the shuttle bay converted into a fairly effective carrier bay, this converted battlecarrier supports its fleet with a variety of fleetwide improvements while also being a rather capable combat ship as well, making it an unexpected, yet effective tool in any pirate warlord's arsenal.

A passenger liner from a more civilized age, the Huan-Gogel 440 """"Starliner"""" was built to travel between the systems of the Domain in speed and comfort. The Starliner features private first-class cabins, two classes of food service, a zero-G theatre, and even a small landing/launch bay for exclusive use by executive-class passengers. (Being a civilian ship there are, of course, no facilities for fighter repair and rearmament).

The Starliner is equipped with a forward shield to ensure passenger safety and protect the hull from routine abrasion. Refitted for the current realities of the Sector, this ship class is routinely equipped with all-band anti-missile flare launchers as well as a number of gun turrets; this serves not only to evoke a sense of adventure, but discourage casual piracy while justifying a """"munitions surcharge"""" on each ticket sale.",,,
missp_venture_heg,SHIP,"A hegemony auxiliary refit of the rather common Venture-class Cruiser, the ship has been refitted from its humble roots as a surveying and exploration ship to a heavily armored fleet anchor. Its onboard mining drone compliment has been substituted out for a proper nanoforge, allowing it to also fill in as a battlecarrier in the most desperate of scenarios.

Tough, dependable and not overly expensive, Venture-class cruisers are usually constructed by private corporations for escort duty or by small non-aligned worlds for system defense.

The Venture-class ships are perhaps the most widely used civilian cruisers in the Sector. The blueprints for the Venture are widely available and can often be secured without too much trouble. 

When used by small corporations, the ship is usually the pride of the fleet and is used to underpin vital operations. Due to its ubiquity, the vessel also serves with quite a few pirate outfits, where it sometimes fills the role of command ship."",""Tough and dependable, the Venture is usually fitted with a good missile complement but lacks the sustained damage output needed to do well in prolonged engagements. A built-in mining drone bay provides additional defenses - a particularly good thing because the civilian-grade power generators make the shields easy to overwhelm.",,,
missp_venture_pirate,SHIP,"This ship has been refitted by pirate outfits into a proper command cruiser. With its valuable surveying and exploration equipment stripped, and a hastily-converted fighter bay installed where its mining drones were once maintained, and extra weapon mounts installed, this cruiser makes for a valuable addition to any pirate fleet.

Tough, dependable and not overly expensive, Venture-class cruisers are usually constructed by private corporations for escort duty or by small non-aligned worlds for system defense.

The Venture-class ships are perhaps the most widely used civilian cruisers in the Sector. The blueprints for the Venture are widely available and can often be secured without too much trouble. 

When used by small corporations, the ship is usually the pride of the fleet and is used to underpin vital operations. Due to its ubiquity, the vessel also serves with quite a few pirate outfits, where it sometimes fills the role of command ship."",""Tough and dependable, the Venture is usually fitted with a good missile complement but lacks the sustained damage output needed to do well in prolonged engagements. A built-in mining drone bay provides additional defenses - a particularly good thing because the civilian-grade power generators make the shields easy to overwhelm.",,,
missp_pelagornis,SHIP,"Equipped with Nanoforges of the size and power to rival planet-based manufacturing, the Pelagornis-class Super-Carrier is essentially a fleet unto itself; the sheer number of strike craft it can deploy can easily overwhelm any target in a matter of moments. In addition, the ship is able to mount significant arrays of weapons that place its direct firepower in excess of even the Onslaught-class. A true worldbreaker given form, this ship is the crowning jewel of the Domain’s ambitions.

Among the tales told by the aging members of the spacefaring community, none were as fantastical as those surrounding the legendary Pelagornis. Regarded as little more than myth or the result of armchair-admiral debate, this design was never acknowledged as genuine or feasible by the Domain Armada.

The existence of this ship tells a very different story. While the Nagato was to be the future standard of the Domain’s frontline ships, the Pelagornis was secretly developed as the be-all and end-all of fleet command technology, capable of coordinating the entirety of the Armada from a single platform. The reason for such secrecy was due to the greatest weapon in its arsenal: within the massive CIC was the WarMind, an abominable fusion of two Alpha-level AIs and a still-living human brain. All ship systems were directly slaved to this central intelligence, which was necessary for the ship to even function. However, the WarMind’s human component was left in a state of utter agony as result of its integration, and in early trials, the intelligence proved to be ambitious, unreliable, antagonistic, and above all, imaginative. Ultimately, the Domain Admiral’s sense of morality and paranoia won out over any practical arguments, as the original Pelagornis and the WarMind were destroyed and never further developed.

Perhaps it is best that this technology remains lost. The Domain abandoned this design for a reason.",,,
missp_path_ragnarok,SHIP,"‘And so, God, upon seeing his children on the brink of obliteration, spoke one final Word with which to undo their hubris. The word became steel and made its dwelling among the stars. The faithful, illuminated by Ludd’s pyre, have seen this steel and rejoiced, for salvation shall fall from the heavens as a mighty Hammer, full of truth and love for all.’ – Canticles of Ludd, Chapter 73, Verse 112.

Alternatively known as the Cathedral of Galactic Redemption, the Holy Instrument of His Will and Word, and, most fittingly, the Hammer of Ludd, The Ragnarok is the final doom of technologist heretics.

A floating scrapheap held together by nanogoo and faith, this mobile battlestation brings unrivaled firepower to bear against all those who would forsake Ludd’s word. Hegemonic Analysis of the Ragnarok reveals that, despite its ramshackle appearance, this vessel is perfectly capable of going toe-to-toe with an entire battlegroup and emerging relatively unscathed. In addition, it has been proposed that the ship possesses advanced command and control technology used to direct the various Pather cells found throughout the sector.

While most every faction has placed significant bounties on the destruction or capture of this ship, the Persean League is most fervent in seeking the Ragnarok’s destruction for one simple reason: it is believed by League Admiralty that the Pather cells that destroyed Mairaath were based off of Ragnarok, which was sighted in-system only a few days prior to the doom of Mayasura.
",,,
missp_path_patrol_craft,SHIP,"Old mining craft design, carrying two hammer torpedoes and two small guns for protection, it was often used during small scale mining operations. While rather weak, its the better alternative to the Perdition bombers, which far too often fall prey to enemy point defense.",,,
missp_path_condor,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

The Condor-class sees heavy service in the Sector as this carrier-converted freighter is, for many independent polities, the easiest way to procure fighter capability for their organization. Even with limited flight deck space, the Condor gets the job done, relying on its tough armor, excellent bulkhead strength, and a respectable (for a light carrier) weapons package.

This light carrier design is derived from Tarsus-class freighters modified by desperate scavengers and pirates. The conversion process was once an involved and complex affair requiring space dock facilities, but nowadays any hull-capable forge that will accept a stock Tarsus spec will, with the addition of a custom modchip, get you something just as good.

Some in the Sector argue that even the Domain, with all their technological know-how, relied on similar conversions to make more efficient use of a merchant fleet during times of escalated hostilities on the voluminous galactic frontier. Others point out that it is unclear how ubiquitous this approach was - there could have been fleets of Condors roaming Domain space, but there is scarce hard evidence one way or the other. Such data was all lost in the Collapse.",,,
missp_midline_patrol_craft,SHIP,"The final word in fighter design, the Claymore is one of the largest and most powerful Patrol Craft currently in use. Equipped with significant armor and a substantial armament, this fighter is more akin to a carrier-based frigate than to a conventional strike craft. It is capable of directly engaging and overwhelming ships of significantly larger size, or eliminating swarms of fighter craft in a single pass, and has the maneuverability to dodge thick clouds of point-defense fire with ease. Claymores are often deployed alongside large fighter or bomber wings to ensure that a single wave can maximize both space-superiority and anti-ship capability without the need for to deploy larger carriers. ",,,
missp_path_dominator,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations.
 
Ponderous and menacing, the Dominator-class is one of the most widespread system defense cruisers in Hegemony space. 

While not the most technologically advanced hull, it relies on a plethora of ballistic hardpoints to accomplish its mission, which is more often than not defending orbital installations and vital points of intra-system trade routes. A poor shield emitter which is difficult to manage and thus, rarely engaged, gives way to an almost impregnable interlocking armor belt system making the Dominator safe from most weapons. Even strike craft cannot overcome the hail of projectiles that can be launched to intercept their payloads. This hull proves that tried and true military engineering is difficult to overcome by new ideas and technologies, especially when in the hands of tough, determined crews and experienced officers.

Dependable, durable, and a constant presence in home space around civilized worlds and outposts, the Dominator is perhaps most hated and feared by pirates and law-breaking corporate agents. 

Pather modifications turned Dominator into their main torpedo cruiser. Beware of its massive barrages, or dont, and get blown up.",,,
missp_path_eagle,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

Eagle-class cruisers are often found at the core of military fleets headed for battle. It is not hard to see why: A strong overall profile, with a robust engine, the Eagle's deadly weapons package is a threat to all enemies.

The Eagle can deliver a strong tactical punch to enemy formations. Its numerous turret and hardpoint emplacements make it very dangerous to smaller foes. Decent armor and a strong shield emitter let it hold space while outnumbered, or even when faced with the rare larger ship. 

These strengths are somewhat countered by strike craft - an Eagle captain must always watch their scopes for an approaching strike squadron, since their ship will be easily crippled by multiple hits from modern strike weapons. 

The embodiment of the sleek and powerful space cruiser from the time of the Domain, the Eagle-class ships are a beautiful reminder of the technological and aesthetic achievements of humanity's past. ",,,
missp_path_enforcer,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

The Enforcer-class ships commonly serve in system or convoy defense roles. The design features good armor and multiple ballistic hardpoints, while shield performance is somewhat underwhelming. 

The blueprints of the ship call for many components similar to those found in the Onslaught-class battleships, suggesting that the designs were created during a similar period of military expansion in the Domain. The Enforcer-class features similar no-nonsense weapon system design choices, tough bulkheads, and is well regarded by its crews.

Tough to beat in a destroyer to destroyer fight, the Enforcer rarely takes part in larger battles due to the common view that its low speed makes it a liability. Nonetheless, Hegemony order of battle doctrines mandate an attached Enforcer squadron as a screen for Onslaught-class battleships. The logistical ease with which shared components can be used by both ship types is exactly the type of detail that excites Hegemony Logisticarum bureaucrats.",,,
missp_path_falcon,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

Often called the Eagle cruiser's little brother, the Falcon-class cruiser sacrifices armor for speed, neatly filling the light cruiser role in military fleets throughout the Sector. 

The ""light"" designation does not indicate a significant reduction in firepower, however, making the Falcon a valuable tactical asset to any fleet. The ship is easily able to fill a wide variety of roles, from close support to assault, given the proper configuration. 

The Falcon's top notch engines give it the ability to quickly disengage from battle should its defenses be pressed to a critical point.

Swift and elegant, Falcon-class cruisers are often found as lead elements in larger fleet formations, or deployed to reinforce anti-pirate convoys.",,,
missp_path_hammerhead,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations.
 
A midline destroyer from the golden age of the Domain, the Hammerhead is respected for its staying power in battle as well as its ballistic capabilities.",,,
missp_path_hermes,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

The Hermes is a small, dependable cargo hauler often converted for transport duty among poor frontier worlds. Its crew and passenger facilities are charitably described as ""robust"" but it manages to get the job done with remarkable consistency despite the primitive maintenance facilities it frequents.

Factory-spec, the Hermes is armed only for ""active collision avoidance"", but its turret system is often upgraded to achieve nearly full albeit light point-defense coverage that can destroy the stray missile while escaping from active combat zones. This firepower is meagre compared to dedicated combat ships so only a mad or truly desperate captain would employ the Hermes in front line combat.",,,
missp_path_mercury,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

One of the smallest ships in the Sector equipped with an on-board hyperdrive actuator, this class is typically used for safely transporting VIPs or couriers between star systems.

Although small, the Shuttle-class is outfitted for the comfort and security of its potential VIP passengers. It is rare to see one in combat; if a captain is unlucky enough to be in such a spot, one can quickly see why: most power systems on board are reserved for use by the life support, comfort and entertainment modules, installed to make sure that passengers do not get bored on long voyages.",,,
missp_path_mudskipper,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

Most commonly used as interplanetary ferry, the Mudskipper is indeed interstellar-capable. The ship has no built-in shield generator so must rely on its durable - for a civilian craft - armour to protect passengers and cargo. There is little hope for the Mudskipper in combat, but it is generally equipped with a rear-facing turret to foil attacks by the ever-popular Salamander missile.

The HGA-220 was first produced as the ""Pegasus""-class but was soon anointed with the altogether more humble name ""Mudskipper"". This tough little ship has been a mainstay in backwater civilian transport for centuries, and although not pretty, the rugged construction simplifies maintenance and generous bay doors allow for great versatility. To this point, the Mudskipper's image in the public mind was cemented by a somewhat unlikely holovid sequence featuring a Mudskipper transporting a herd of bovids to a picturesque arid-terraform.

Pather modifications turned its landing bay into hammer torpedo launcher.",,,
missp_path_mule,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

The Mule-class is a tough nut to crack, which makes its designation as a combat freighter apt. Pirates will often bypass even a lone Mule and go off in search of easier prey.

Often its captains casually ferry cargo to and fro between the star systems of the Sector alone and comfortable in the knowledge that they could afford the best protection a freighter captain can hope to get, short of an escort, of course.",,,
missp_path_nebula,SHIP,"Pathers desperately needed line combat ships. Everpresent husks of old and destroyed ships laying in the scrapyards of the sector were answer to the Pather call. This ship, among many others, is salvaged hull with most of its ""unnecessary"" systems, such as most of life support, removed, energy weapons stripped and where possible added hammer torpedoes fittings, is core of the Pather battle formations. 

The voluminous but ungainly hull of the Huan-Gogel 430 ""Nebula"" does little to enhance the romance of interstellar travel but it does ensure a respectable passenger and cargo capacity for a ship of its class. Indeed, the Nebula has slowly come to dominate mid-tier passenger service since the muted reception of its first line of production.

Pather modification consists of stripping its hangar and turning it into makeshift hammer torpedo bay.",,,
