id,type,text1,text2,text3,notes
PulseIndustry_pulsar,SHIP,"A tough, shielded and dependable drone"" the words first used as allure for the Pulsar class Assault Drone in the pulse industry board meeting. The announcement of the new fighter recieved great lengths of funding by Pulse Industry executives, to some speculation perhaps because the craft offered a level of personal defence unmatched with any manned fighter before it at the time.
Executives now frequently bring carriers of these along with their fleets, even a small fleet will now often contain an effigy with a few Pulsar wings, as having them flaunted by the fleet as they travelled proved a powerful way to deter pirate conflict, especially after the battle of Kunan III.
Perhaps the only weakness of this hard to acquire fighter is that it takes a whole flight deck of construction and repair equipment to maintain just one unit, though, that's hardly a problem when said fighter is so hard to destroy.

A high-end fighter to the core, the Pulsar shouldn't be wasted on a fight it can't win. Equipped with a shield-disabling autocannon and an armor piercing chaingun to finish the job, as well as a basic EMP weapon for added disruption it can tackle almost any combat situation singlehandedly. A simple omni-shield provides decent protection from point defense fire and flak, but the Pulsar has the ability to Recall his fighter immediately to the carrier when caught in a losing situation.
They cannot use the ship-system if the launch bay is cramped.
",,,
PulseIndustry_minster,SHIP,"The pinnacle of the Pulse Industry designs, the Minster is a capital ship capable of emitting EMP for disable shield of ship. When you need to bombard a fleet, he is here for you. When you need shield, he is here for you. You search a good freighter and tanker�? The Minster. The Minster is the capital of the Pulse Industry Corporation, the requirement of crew for operate the vessel is so low than many people believe seriously than they have a Alpha Core integrated on it.",,,
PulseIndustry_teco,SHIP,"This space mech is a weird design from Pulse Industry Corp. Equipped with a PD Burst and a IR Pulse Burst, it's dangerous but slow and shieldless.
Good only for destroy destroyer or frigate.",,,
,,,,,
PulseIndustry_emp,SHIP_SYSTEM,"Activates an EMP generator. Nearby missiles, fighters are all targeted and can be disabled in short order, but cannot target enemy ship.
The range of the emp depends of the hullsize of the ship.",Special,Generates lightning arcs that quickly knock out enemy missiles or fighter within range. Cannot target enemy ship.,
PulseIndustry_emppt,SHIP_SYSTEM,"The ship instantly teleports to any desired nearby location. Using this system generates some flux. 
The modified pulse version have a less range but emit emp.",Special,The ship instantly teleports to any desired nearby location and emit emp. Generates flux when used.,
PulseIndustry_recalldevice,SHIP_SYSTEM,"Teleport the fighter back to the carrier, allowing it to be quickly refitted and relaunched.",Fighter,"Teleports the fighter back to the carrier, allowing it to be quickly refitted and relaunched.",
PulseIndustry_empfocus,SHIP_SYSTEM,"Activates an EMP generator who overload a target ship for qew seconds with a very charged EMP. After qew seconds, the EMP on the target hit every ships arounds. ",Offensive,Briefly overloads a nearby enemy ship and EMP ships around this enemy ship.,
,,,,,
PulseIndustry_low_blaster,WEAPON,"Fires bolts of energy at hostile targets. With low damage and high flux costs, the Low Pulsar blaster is a weapon manufactured per the Pulse Industry Corporation. This weak version of the Pulsar Blaser has the advantage to target also missiles.

The Low Pulsar Blaster uses improved high-energy gas ammunition which, when activated by a strong electric current, is converted into plasma. A guiding electron is fired along the axis of traversal beforehand, ensuring that the uncontained plasma bolt will travel in the intended direction, thanks to physics that are no longer well understood. The Pulse Industry Corporation has modified the mecanism for de-stabilized the weapon, reducing the damage but adding a EMP power very dangerous.",,,
PulseIndustry_blaster,WEAPON,"Fires bolts of energy at enemy targets. With mid damage and flux costs, the Pulsar blaster is a weapon manufactured per the Pulse Industry Corporation.

A reliable energy weapon like the Heavy Blaster, the Pulsar Blaster uses improved high-energy gas ammunition which, when activated by a strong electric current, is converted into plasma. A guiding electron is fired along the axis of traversal beforehand, ensuring that the uncontained plasma bolt will travel in the intended direction, thanks to physics that are no longer well understood. The Pulse Industry Corporation has modified the mecanism for de-stabilized the weapon, reducing the damage but adding a EMP power very dangerous.",,,
PulseIndustry_sylva_blaster,WEAPON,"Fires bolts of energy at enemy targets. With high damage and flux costs, the Sylva blaster is a weapon manufactured per the Pulse Industry Corporation and the large version of the Pulsar Blaster.

A reliable energy weapon like the Heavy Blaster with a more big cannon, the Sylva Blaster uses improved high-energy gas ammunition which, when activated by a strong electric current, is converted into plasma. A guiding electron is fired along the axis of traversal beforehand, ensuring that the uncontained plasma bolt will travel in the intended direction, thanks to physics that are no longer well understood. The Pulse Industry Corporation has modified the mecanism for de-stabilized the weapon, reducing the damage but adding a EMP power very dangerous.",,,
