id,type,text1,text2,text3,notes
sebastian,SHIP,"A venerable design, the Sebastian is an oversized cruiser carrier with focused forward-facing ballistic firepower. When combined with its fighter wings this ship can concentrate a lot of ordinance on a single foe, however the vessel is let down by poor mobilty and a strenuous logistics profile. These features rapidly buried the Sebastian as a combat ship as fleet ships became more mobile, but has been picked up by the Church of Galactic Redemption due to the lack of excessively advanced technology. The ship is now an effective  fleet anchor, able to strike at range with fighters while keeping enemies at bay with its firepower.",,,
le_surge,SHIP_SYSTEM,"Briefly overdrives the ship's engines, shooting the vessel forward a short distance.",Movement,"Briefly overdrives the ship's engines, shooting the vessel forward a short distance.",
,,,,,
#Light of Ludd,,,,,
le_dram_w,WEAPON,"The strongest weapon in the Sacred Arsenal against the agents of Moloch, the Divine Light of Ludd is a stripped-back Dram hull loaded with explosives. The lightness and fragility of the improvised ship, combined with the fact that it's loaded with bombs and fuel, means the ship is somewhat fragile. However, the ship-sized missile is fast, and if it makes it within range of its target it can bring annhilitic salvation to stations and capital ships, and even remove cruisers from the void.",,,
le_explode,SHIP_SYSTEM,"The Light of Ludd is released, the lies of Moloch are laid bare, and all are purified with Divine Fire.",Special,"The Light of Ludd is released, the lies of Moloch are laid bare, and all are purified with Divine Fire.",
le_explode_dram,SHIP_SYSTEM,"The Light of Ludd is released, the lies of Moloch are laid bare, and all are purified with Divine Fire.",Special,"The Light of Ludd is released, the lies of Moloch are laid bare, and all are purified with Divine Fire.",
,,,,,
#Alexandretta,,,,,
hegemony_hera,CUSTOM,"A remnant of the Alexandretta Polity, this base was forciably acquired by the Hegemony during the invasion of the Pirate Lord Scarborough in the name of 'protecting the citizens of Alexandretta'. Although the Hegemony leadership has made several promises to vacate the facility and return it to the Alexandretta Polity in the wake of Scarborough's defeat on Cerberus, the station still remains in Hegemony hands, and increasingly it appears that this fact will not change in the future. Understandably, ownership of this station is a sore topic for most Alexandrettans.",,,
luddicchurch_cerebrus,CUSTOM,"The seat of the Alexandretta Polity, this planet was the site of the last battle against the Pirate Lord Scarborough many cycles ago. While the surface of Cerberus was nearly destroyed in the attack, the Alexandrettans were able to fight off the invading pirates. However, the cost of the attack was horrific. Encroaching Hegemony influence in the wake of the assault and the weakness of the now crippled Polity drove the Alexandrettans to turn to the Luddic Church for assistance. The planet is now a somewhat loyal bastion to the Luddic Church, if more out of necessity rather than genuine faith. The remnants of Cerberus' industry now fuels a limited ship building program sanctioned by the Church, further increasing the theological dubiousness of the planet.",,,
planet_artaxerxes,CUSTOM,"When Lord Scarborough initially invaded Alexandretta, the lush alpine planet of Artaxerxes was the first to face his terrible hunger. The meagre first-responding defence force was completely annhiliated, with the fractured remnants driven back to Cerbrus, and leaving the populace to the deprivations and horrors of Lord Scarborough. Luckily, the defiance of the populace was able to keep the pirate forces occupied even after grievous retributions by the pirates, enabling stronger defences to muster at Cerberus. Unfortunately the Alexandretta Polity could not liberate the beleaguered populace, hard-pressed as they were to defend themselves. They were forced to watch as Artaxerxes and its populace were burnt in retribution for its defiance, in what is arguably the first usage of starship fuel to achieve complete planetary destruction.",,,
