id,type,frame,magnitude,map,path
diableavionics_module_defense_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_defense.png
diableavionics_module_fighter_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_fighter.png
diableavionics_module_missile_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_missile.png
diableavionics_module_ecm_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_ecm.png
diableavionics_module_wanzer_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_wanzer.png
diableavionics_module_tip_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_bastion.png
,,,,,
diableavionics_versant_barrel_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_gunLeft.png
diableavionics_versant_barrel_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_gunRight.png
diableavionics_versant_bit_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_bitLeft.png
diableavionics_versant_bit_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_bitRight.png
diableavionics_versant_door_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_doorLeft.png
diableavionics_versant_door_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_doorRight.png
diableavionics_versant_panel_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_panelLeft.png
diableavionics_versant_panel_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_panelRight.png
diableavionics_versant_prong_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_prongLeft.png
diableavionics_versant_prong_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_prongRight.png
diableavionics_versant_shield_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_shieldLeft.png
diableavionics_versant_shield_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_shieldRight.png
diableavionics_versant_slots,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_slots.png
diableavionics_station_deepStrike,turret,,2,normal,graphics/da/maps/ships/diableavionics_station_deepStrike.png
